NAICS,NAICS_TITLE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,YEAR
115100,Support Activities for Crop Production,15-1141,Database Administrators,detailed,70,17,0.02,1,35.94,"74,750",5.7,20.22,25.6,33.9,43.87,59.54,"42,070","53,240","70,520","91,250","123,830",,,2014
115200,Support Activities for Animal Production,13-1161,Market Research Analysts and Marketing Specialists,detailed,50,33.7,0.18,1,26.23,"54,560",9.1,13.77,19.55,21.96,30.39,43.28,"28,640","40,660","45,680","63,220","90,030",,,2014
211100,Oil and Gas Extraction,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,200,8.5,0.1,1,35.48,"73,790",3.9,19.96,25.53,33.22,41.59,54.31,"41,530","53,090","69,090","86,500","112,970",,,2014
211100,Oil and Gas Extraction,13-1161,Market Research Analysts and Marketing Specialists,detailed,320,10.2,0.17,2,39.28,"81,700",3.6,20.08,26.24,36.03,48.03,66.19,"41,760","54,570","74,950","99,900","137,680",,,2014
211100,Oil and Gas Extraction,13-2031,Budget Analysts,detailed,60,26.5,0.03,~,43.42,"90,300",7.5,24.92,31.19,40.26,50.1,63.68,"51,830","64,880","83,730","104,210","132,450",,,2014
211100,Oil and Gas Extraction,13-2051,Financial Analysts,detailed,"1,820",8.9,0.95,3,48.18,"100,220",2.2,26.43,33.32,43.82,59.68,74.31,"54,980","69,310","91,140","124,140","154,560",,,2014
211100,Oil and Gas Extraction,15-1121,Computer Systems Analysts,detailed,"3,450",15.1,1.79,2,50.85,"105,770",4.5,26.83,35.63,46.01,60.38,79.63,"55,800","74,110","95,700","125,580","165,630",,,2014
211100,Oil and Gas Extraction,15-1122,Information Security Analysts,detailed,210,10,0.11,1,42.34,"88,080",2.9,25.66,33.81,41.72,50.37,60.71,"53,380","70,330","86,770","104,770","126,280",,,2014
211100,Oil and Gas Extraction,15-1141,Database Administrators,detailed,280,9.7,0.15,1,42.56,"88,520",3.4,21.21,30.14,41.76,53.98,63.94,"44,120","62,690","86,870","112,270","132,990",,,2014
211100,Oil and Gas Extraction,15-2031,Operations Research Analysts,detailed,80,12.2,0.04,~,39.13,"81,380",5.3,21.79,26.15,36.08,47.6,61.85,"45,320","54,400","75,040","99,000","128,640",,,2014
213100,Support Activities for Mining,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,80,33,0.02,~,35.17,"73,160",4.1,19.99,25.89,33.83,41.83,54.34,"41,580","53,860","70,360","87,000","113,020",,,2014
213100,Support Activities for Mining,13-1161,Market Research Analysts and Marketing Specialists,detailed,310,14.7,0.07,1,48.17,"100,200",5.3,25.17,33.96,43.03,57.61,77.63,"52,350","70,640","89,510","119,840","161,480",,,2014
213100,Support Activities for Mining,13-2031,Budget Analysts,detailed,150,23.7,0.04,~,39.76,"82,700",5.6,20.89,26.5,35.62,52.15,66.44,"43,460","55,120","74,090","108,470","138,190",,,2014
213100,Support Activities for Mining,13-2051,Financial Analysts,detailed,260,18.3,0.06,1,45.81,"95,280",6.4,24.55,31.45,41.52,56.23,74.7,"51,060","65,410","86,350","116,970","155,380",,,2014
213100,Support Activities for Mining,15-1121,Computer Systems Analysts,detailed,790,21.1,0.19,~,57.1,"118,770",3.5,33.57,41.4,53.35,67.45,84.16,"69,820","86,120","110,960","140,290","175,060",,,2014
213100,Support Activities for Mining,15-1122,Information Security Analysts,detailed,50,27.7,0.01,~,46.48,"96,670",4.7,33.15,38.63,44.86,53.29,62.8,"68,950","80,350","93,300","110,850","130,610",,,2014
213100,Support Activities for Mining,15-1141,Database Administrators,detailed,60,31.8,0.01,~,45.47,"94,580",7.5,24.21,27.84,36.14,58.35,87.4,"50,360","57,900","75,170","121,360","181,780",,,2014
221100,"Electric Power Generation, Transmission and Distribution",13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,330,7.5,0.08,2,35.42,"73,680",2.1,21.32,26.13,33.39,43.62,54.87,"44,340","54,350","69,440","90,720","114,130",,,2014
221100,"Electric Power Generation, Transmission and Distribution",13-1161,Market Research Analysts and Marketing Specialists,detailed,"1,580",9.3,0.41,5,37.68,"78,370",2,21.72,27.88,35.74,45.96,57.61,"45,170","58,000","74,330","95,600","119,840",,,2014
221100,"Electric Power Generation, Transmission and Distribution",13-2031,Budget Analysts,detailed,430,12.1,0.11,1,34.43,"71,610",3.3,21.72,25.81,32.52,41.6,49.62,"45,190","53,690","67,650","86,530","103,200",,,2014
221100,"Electric Power Generation, Transmission and Distribution",13-2041,Credit Analysts,detailed,110,22.1,0.03,~,36.61,"76,150",4.1,22.31,27.97,34.84,42.76,51.73,"46,400","58,180","72,470","88,940","107,600",,,2014
221100,"Electric Power Generation, Transmission and Distribution",13-2051,Financial Analysts,detailed,"1,040",6.7,0.27,2,43.26,"89,980",2,26.03,32.78,41.19,50.83,62.63,"54,130","68,180","85,660","105,730","130,270",,,2014
221100,"Electric Power Generation, Transmission and Distribution",15-1121,Computer Systems Analysts,detailed,"2,640",8.8,0.68,3,45.58,"94,810",2.1,30.05,37.32,45.34,54.47,62.45,"62,510","77,630","94,300","113,290","129,890",,,2014
221100,"Electric Power Generation, Transmission and Distribution",15-1122,Information Security Analysts,detailed,720,8.6,0.19,2,40.18,"83,570",1.5,26.52,31.84,38.62,47.81,57.09,"55,160","66,230","80,330","99,440","118,750",,,2014
221100,"Electric Power Generation, Transmission and Distribution",15-1141,Database Administrators,detailed,350,11.4,0.09,1,43.74,"90,980",1.9,27.9,35.11,43.71,53.15,60.26,"58,040","73,040","90,920","110,540","125,350",,,2014
